time;averagePm10;averageAirTemp;averageDewPointTemperature;averageRelativeHumidity;averageAirPressure;averageWindDirection;maxWindSpeed;averageWindSpeed;rainIntensity
"2018-11-17 05:00:00";21.071186440678;-0.27666666666667;-5.7266666666667;66.698333333333;997.33;68;4.3;2.5816666666667;0
"2018-11-17 06:00:00";27.7;-0.31166666666667;-7.17;59.873333333333;997.50666666667;86;3.8;2.16;0
"2018-11-17 07:00:00";33.591525423729;-0.3;-7.49;58.406666666667;997.53333333333;95;4.4;2.7666666666667;0
"2018-11-17 08:00:00";43.915;-0.24833333333333;-7.825;56.685;997.59833333333;79;4.1;2.19;0
"2018-11-17 09:00:00";36.616949152542;-0.2;-7.515;57.865;997.325;62;4.6;2.7266666666667;0
"2018-11-17 10:00:00";33.166101694915;-0.28833333333333;-7.0866666666667;60.145;996.84166666667;65;5.8;3.045;0
"2018-11-17 11:00:00";35.137288135593;-0.39333333333333;-7.12;60.46;996.38833333333;73;5.2;3.0266666666667;0
"2018-11-17 12:00:00";36.635;-0.41333333333333;-7.1283333333333;60.486666666667;996.02833333333;71;4.7;2.4066666666667;0
"2018-11-17 13:00:00";33.438333333333;-0.63666666666667;-6.8116666666667;63.035;995.98333333333;73;4.7;2.5683333333333;0
"2018-11-17 14:00:00";27.754237288136;-0.78833333333333;-6.6716666666667;64.401666666667;996.03666666667;77;3.5;1.7516666666667;0
"2018-11-17 15:00:00";27.965;-0.92;-6.7033333333333;64.895;995.735;104;2.5;1.445;0
"2018-11-17 16:00:00";26.018644067797;-1.1983333333333;-6.3583333333333;68.006666666667;995.29166666667;78;2.5;1.3616666666667;0
"2018-11-17 17:00:00";24.128333333333;-1.4916666666667;-5.975;71.61;995.25333333333;53;2.4;1.3033333333333;0
"2018-11-17 18:00:00";23.632203389831;-1.8166666666667;-5.1783333333333;77.76;994.81666666667;49;3.5;2.0933333333333;0
"2018-11-17 19:00:00";19.196666666667;-1.99;-5.2533333333333;78.416666666667;994.43666666667;55;3.4;2.035;0
"2018-11-17 20:00:00";19.622033898305;-1.9166666666667;-5.1166666666667;78.813333333333;993.94666666667;54;3.4;1.845;0
"2018-11-17 21:00:00";20.606779661017;-1.9133333333333;-5.1833333333333;78.286666666667;993.31333333333;59;2.8;1.6366666666667;0
"2018-11-17 22:00:00";16.063333333333;-1.84;-5.21;77.69;992.63166666667;66;3.2;1.5183333333333;0
"2018-11-17 23:00:00";15.010169491525;-1.8433333333333;-5.1633333333333;77.97;992.11166666667;70;3.4;1.7083333333333;0
