time;averageAirTemp;averageDewPointTemperature;averageRelativeHumidity;averageAirPressure;averageWindDirection;maxWindSpeed;averageWindSpeed;rainIntensity;averagePm10
"2019-07-07 16:00:00";21.148333333333;6.905;39.736666666667;983.55;290;4.9;2.7933333333333;0;8.2533333333333
"2019-07-07 17:00:00";20.461666666667;7.2816666666667;42.54;983.67;285;3.6;2.0166666666667;0;7.6
"2019-07-07 18:00:00";19.695;8.1383333333333;47.238333333333;983.79666666667;271;2.6;1.57;0;6.6566666666667
"2019-07-07 19:00:00";19.09;8.425;50.03;984.17666666667;241;2.8;1.6183333333333;0;7.3932203389831
"2019-07-07 20:00:00";18.508333333333;8.7483333333333;53.048333333333;984.20166666667;243;2.2;1.145;0;8.6457627118644
"2019-07-07 21:00:00";17.978333333333;8.9416666666667;55.531666666667;984.21166666667;247;1.8;0.98;0;5.7366666666667
"2019-07-07 22:00:00";17.361666666667;9.2916666666667;59.12;984.29333333333;266;1.4;0.785;0;5.1525423728814
"2019-07-07 23:00:00";16.951666666667;9.81;62.826666666667;984.15333333333;214;1.5;0.75833333333333;0;4.21
"2019-07-08 00:00:00";16.411666666667;9.9516666666667;65.618333333333;983.80333333333;251;1.6;0.80166666666667;0;4.6866666666667
"2019-07-08 01:00:00";16.19;10.073333333333;67.12;983.45666666667;282;1.4;0.74166666666667;0;5.9266666666667
"2019-07-08 02:00:00";16.163333333333;10.178333333333;67.69;983.11;2;1.4;0.55833333333333;0;5.7610169491525
"2019-07-08 03:00:00";15.711666666667;10.456666666667;70.973333333333;983.08833333333;234;1.6;0.64833333333333;0.028333333333333;4.7423728813559
"2019-07-08 04:00:00";15.82;10.898333333333;72.601666666667;983.22;241;1.2;0.495;0.033333333333333;3.9389830508475
"2019-07-08 05:00:00";15.813333333333;11.27;74.426666666667;983.33166666667;127;2.6;0.795;0.048333333333333;4.1474576271186
"2019-07-08 06:00:00";15.695;11.766666666667;77.5;983.48333333333;359;2.2;0.99;0.086666666666667;2.8779661016949
"2019-07-08 07:00:00";16.325;11.953333333333;75.378333333333;983.58833333333;279;1.2;0.53666666666667;0;2.0633333333333
"2019-07-08 08:00:00";17.375;11.576666666667;68.788333333333;983.62666666667;228;1.5;0.56;0.078333333333333;2.5966101694915
